2016-07-11,254683088
2016-07-12,243881621
2016-07-13,238997287
2016-07-14,236068499
2016-07-15,227662280
2016-07-16,217292237
2016-07-17,235660595
2016-07-18,246973419
2016-07-19,245179753
2016-07-20,253902565
2016-07-21,265557325
2016-07-22,269109396
2016-07-23,261027786
2016-07-24,281328293
2016-07-25,291335371
2016-07-26,293394875
2016-07-27,285127976
2016-07-28,280465494
2016-07-29,269934559
2016-07-30,262754852
2016-07-31,283066712
2016-08-01,292881747
2016-08-02,286258855
2016-08-03,271128871
2016-08-04,262188893
2016-08-05,259826779
2016-08-06,261281980
2016-08-07,273717513
2016-08-08,292929547
2016-08-09,284956360
2016-08-10,287278721
2016-08-11,280354188
2016-08-12,273926218
2016-08-13,265195926
2016-08-14,281323235
2016-08-15,294542405
2016-08-16,278581691
2016-08-17,245208844
2016-08-18,241404262
2016-08-19,237081349
2016-08-20,230071220
2016-08-21,258757502
2016-08-22,269855610
2016-08-23,259103984
2016-08-24,254312565
2016-08-25,249185469
2016-08-26,239779709
2016-08-27,232894562
2016-08-28,252621204
2016-08-29,272145406
2016-08-30,264555564
2016-08-31,257515340
2016-09-01,246228881
2016-09-02,240052151
2016-09-03,232693094
2016-09-04,247890219
2016-09-05,260598537
2016-09-06,260128965
2016-09-07,250861869
2016-09-08,248972700
2016-09-09,240127421
2016-09-10,239570081
2016-09-11,257068888
2016-09-12,261070789
2016-09-13,264395680
2016-09-14,256093867
2016-09-15,257501567
2016-09-16,236661946
2016-09-17,231399992
2016-09-18,255970775
2016-09-19,272319435
2016-09-20,259812357
2016-09-21,257708299
2016-09-22,263129254
2016-09-23,246006088
2016-09-24,229090708
2016-09-25,249305106
2016-09-26,266939174
2016-09-27,253433321
2016-09-28,256484106
2016-09-29,251464707
2016-09-30,235312302
2016-10-01,230026797
2016-10-02,251724281
2016-10-03,266148371
2016-10-04,262061405
2016-10-05,262692798
2016-10-06,261477215
2016-10-07,239559729
2016-10-08,233470530
2016-10-09,255867067
2016-10-10,261515473
2016-10-11,258666727
